player_lower,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,Player,Team,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
austin herro,9,4,1,0,0,0,2,4,2,0,0,0,Austin Herro,St. Thomas,G,So,9,4,13,0.6923076923076923,0.1111111111111111,13,0.6923076923076923,0.1111111111111111,0,,,13,0.6923076923076923,0.1111111111111111,6,0.3333333333333333,1.0,0.2727272727272727,19,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895,0,0.0,,2026,2026
austin maurer,10,3,7,3,4,2,2,4,2,5,0,4,Austin Maurer,Seattle,C,So,5,3,8,0.625,0.6,13,0.7692307692307693,0.7,7,0.42857142857142855,0.6666666666666666,20,0.65,0.6923076923076923,6,0.3333333333333333,1.0,0.7333333333333333,26,0.5,0.2692307692307692,0.23076923076923078,0.7692307692307693,5,0.19230769230769232,1.0,2026,2026
austin parks,21,8,11,6,6,2,1,3,1,5,0,4,Austin Parks,Toledo,F,Jr,16,8,24,0.6666666666666666,0.4375,29,0.7241379310344828,0.5238095238095238,12,0.5,0.3333333333333333,41,0.6585365853658537,0.48148148148148145,4,0.25,1.0,0.5,45,0.6444444444444445,0.26666666666666666,0.08888888888888889,0.9111111111111111,5,0.1111111111111111,1.0,2026,2026
austin rapp,9,6,6,0,3,0,12,26,12,1,0,1,Austin Rapp,Wisconsin,F,So,8,6,14,0.5714285714285714,0.625,15,0.6,0.6666666666666666,3,0.0,,18,0.5,0.6666666666666666,38,0.3157894736842105,1.0,0.8571428571428571,56,0.26785714285714285,0.05357142857142857,0.6785714285714286,0.32142857142857145,1,0.017857142857142856,1.0,2026,2026
austin williford,3,2,1,4,4,1,2,7,2,0,0,0,Austin Williford,Saint Joseph's,F,Fr,3,2,5,0.6,0.3333333333333333,5,0.6,0.3333333333333333,8,0.5,0.25,13,0.5384615384615384,0.2857142857142857,9,0.2222222222222222,1.0,0.4444444444444444,22,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.5909090909090909,0,0.0,,2026,2026
avantae parker,23,7,10,1,3,0,1,2,1,4,0,0,Avantae Parker,Queens,F,Jr,19,7,26,0.7307692307692307,0.5263157894736842,30,0.7666666666666667,0.43478260869565216,4,0.25,0.0,34,0.7058823529411765,0.4166666666666667,3,0.3333333333333333,1.0,0.44,37,0.8108108108108109,0.10810810810810811,0.08108108108108109,0.918918918918919,4,0.10810810810810811,1.0,2026,2026
ayden carter,14,8,5,8,5,4,4,8,4,1,0,0,Ayden Carter,Detroit Mercy,G,Jr,13,8,21,0.6190476190476191,0.38461538461538464,22,0.6363636363636364,0.35714285714285715,13,0.6153846153846154,0.5,35,0.6285714285714286,0.4090909090909091,12,0.3333333333333333,1.0,0.5,47,0.46808510638297873,0.2765957446808511,0.2553191489361702,0.7446808510638298,1,0.02127659574468085,1.0,2026,2026
ayomi odetoyinbo,7,5,3,1,1,1,0,0,0,3,0,2,Ayomi Odetoyinbo,Colgate,C,Fr,4,5,9,0.4444444444444444,0.25,12,0.5833333333333334,0.42857142857142855,2,0.5,1.0,14,0.5714285714285714,0.5,0,,,0.5,14,0.8571428571428571,0.14285714285714285,0.0,1.0,3,0.21428571428571427,1.0,2026,2026
"azavier ""stink"" robinson",9,6,2,1,1,1,3,4,3,0,0,0,"Azavier ""Stink"" Robinson",Butler,G,Fr,9,6,15,0.6,0.2222222222222222,15,0.6,0.2222222222222222,2,0.5,1.0,17,0.5882352941176471,0.3,7,0.42857142857142855,1.0,0.46153846153846156,24,0.625,0.08333333333333333,0.2916666666666667,0.7083333333333334,0,0.0,,2026,2026
b.j. edwards,19,11,9,8,9,2,12,19,12,5,1,5,B.J. Edwards,SMU,G,Sr,14,10,24,0.5833333333333334,0.2857142857142857,30,0.6333333333333333,0.47368421052631576,17,0.47058823529411764,0.25,47,0.574468085106383,0.4074074074074074,31,0.3870967741935484,1.0,0.5897435897435898,78,0.38461538461538464,0.21794871794871795,0.3974358974358974,0.6025641025641025,6,0.07692307692307693,0.8333333333333334,2026,2026
baba miller,20,4,11,6,5,0,1,6,1,11,1,8,Baba Miller,Cincinnati,C,Sr,9,3,12,0.75,0.3333333333333333,24,0.8333333333333334,0.55,11,0.5454545454545454,0.0,35,0.7428571428571429,0.4230769230769231,7,0.14285714285714285,1.0,0.4444444444444444,42,0.5714285714285714,0.2619047619047619,0.16666666666666666,0.8333333333333334,12,0.2857142857142857,0.9166666666666666,2026,2026
bangot dak,24,13,20,3,9,2,1,5,1,9,0,9,Bangot Dak,Colorado,C,Jr,15,13,28,0.5357142857142857,0.7333333333333333,37,0.6486486486486487,0.8333333333333334,12,0.25,0.6666666666666666,49,0.5510204081632653,0.8148148148148148,6,0.16666666666666666,1.0,0.8214285714285714,55,0.6727272727272727,0.21818181818181817,0.10909090909090909,0.8909090909090909,9,0.16363636363636364,1.0,2026,2026
baron smith jr.,2,2,1,1,2,0,0,0,0,0,0,0,Baron Smith Jr.,Oral Roberts,C,So,2,2,4,0.5,0.5,4,0.5,0.5,3,0.3333333333333333,0.0,7,0.42857142857142855,0.3333333333333333,0,,,0.3333333333333333,7,0.5714285714285714,0.42857142857142855,0.0,1.0,0,0.0,,2026,2026
barrington hargress,12,11,4,13,7,2,6,6,6,0,0,0,Barrington Hargress,Colorado,G,Jr,12,11,23,0.5217391304347826,0.3333333333333333,23,0.5217391304347826,0.3333333333333333,20,0.65,0.15384615384615385,43,0.5813953488372093,0.24,12,0.5,1.0,0.3870967741935484,55,0.41818181818181815,0.36363636363636365,0.21818181818181817,0.7818181818181819,0,0.0,,2026,2026
barry dunning jr.,4,5,1,1,3,0,13,23,13,1,1,1,Barry Dunning Jr.,Pittsburgh,F,Sr,3,4,7,0.42857142857142855,0.0,9,0.4444444444444444,0.25,4,0.25,0.0,13,0.38461538461538464,0.2,36,0.3611111111111111,1.0,0.7777777777777778,49,0.1836734693877551,0.08163265306122448,0.7346938775510204,0.2653061224489796,2,0.04081632653061224,0.5,2026,2026
barry evans,22,18,6,5,6,0,5,18,5,8,0,4,Barry Evans,VCU,F,Jr,14,18,32,0.4375,0.14285714285714285,40,0.55,0.2727272727272727,11,0.45454545454545453,0.0,51,0.5294117647058824,0.2222222222222222,23,0.21739130434782608,1.0,0.34375,74,0.5405405405405406,0.14864864864864866,0.3108108108108108,0.6891891891891891,8,0.10810810810810811,1.0,2026,2026
baye ndongo,23,10,14,1,4,1,1,3,1,3,0,2,Baye Ndongo,Georgia Tech,F,Jr,20,10,30,0.6666666666666666,0.6,33,0.696969696969697,0.6086956521739131,5,0.2,1.0,38,0.631578947368421,0.625,4,0.25,1.0,0.64,42,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.9047619047619048,3,0.07142857142857142,1.0,2026,2026
