YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-10,Nick Mullen,Central Michigan,MAC,10,C,50.9,1.7,1.2,2.3,2,0.3,120.8,115.7,18,57,59.8,7.7,18.7,11.1,11.4,1.3,7.5,1.8,33.3,3.9,0.813,0.737,0.718,31.6,5.3,0.167
Sr,6-6,Dre Bullock,Hawaii,BW,10,G,68.4,1.7,4.4,6.2,1.9,4.2,107.1,87,23.5,48.4,52.8,6.2,19.4,17.1,15.3,1.3,0.7,3.6,49,2.6,0.604,0.681,0.566,44.8,8.6,0.256
Sr,6-7,Tyon Grant-Foster,Gonzaga,WCC,12,C,50.9,1.7,3.5,2.3,0.6,1.7,104.3,83.9,26.5,47.2,50.6,12.5,15.4,5.4,15.7,0.5,6.1,1.8,38,4.3,0.65,0.659,0.556,25,5.9,0.148
Jr,6-8,Michael Belle,VCU,A10,12,F,46.8,1.7,2.2,5.3,3.4,2,125.7,98.7,14.7,71,70,7.3,18.3,12.8,21.6,1.2,2.7,1.5,24,3,0.667,0.583,0.629,30,3.7,0.6
Sr,6-5,Nate Heise,Iowa St.,B12,11,G,63.1,1.7,3.4,3.3,1.4,2,121.4,93.4,11.9,55.3,58.1,4.5,12,10.1,17,2.1,0.9,1.6,36.2,2.3,0.765,0.706,0.778,61.7,5.9,0.276
Jr,6-3,Jordan Ross,Georgia,SEC,11,G,52.6,1.7,2.4,0.7,0.7,0,118.2,100.1,17.3,53.6,59.3,2.4,11.9,19.5,20.2,2.1,0.4,1.1,58.9,2.9,0.607,0.758,0.568,33.9,4.1,0.316
Sr,6-5,Jayland Randall,New Mexico St.,CUSA,7,G,52.1,1.7,2,3.1,3.1,0,110.7,104.8,21.7,48.2,51.5,3.8,16.9,10.6,9.4,1.8,1.9,1.6,30.4,3.3,0.429,0.706,0.429,50,11.4,0.357
So,6-8,Will Hornseth,Northern Iowa,MVC,10,F,69.2,1.7,3.8,4.4,2.1,2.3,112.4,92.9,18.7,62.7,60.3,5.5,13.3,14.3,12.8,1.7,2.6,1.3,21.5,1.1,0.714,0.353,0.632,3.8,0.7,0.333
Sr,7-4,Matt Van Komen,Marshall,SB,12,C,60.8,1.7,2.9,3.7,1.1,2.6,114.9,98.6,17.7,76.2,76.1,14,22.3,4.6,30.5,0.2,13.5,0.6,39.7,3.8,0.872,0.72,0.762,0,0,0
Jr,6-7,Isaiah Sy,Oregon St.,WCC,12,G,56.8,1.7,1.9,1.4,2.1,-0.6,108.4,108.8,22.2,47.2,53,4.7,11.2,18.2,12.5,1.8,2.5,1.7,34.4,4.3,0.421,0.839,0.367,66.7,12.8,0.35
So,6-9,Kanon Catchings,Georgia,SEC,11,F,50.2,1.7,2.6,1.5,1.4,0.1,114.2,96.1,20.3,48.3,51.8,7,16.2,11.2,13.5,1.4,2.6,1.4,25.3,3.6,0.762,0.773,0.618,60.9,12.1,0.264
Sr,6-6,Jadrian Tracey,VCU,A10,12,G,59.8,1.7,2.7,3.2,2.2,0.9,106.6,100.4,23.2,53.5,56.3,3.4,12.1,17.1,21.4,1,2.1,2.1,39.6,3.6,0.467,0.675,0.419,57.4,11.1,0.414
Sr,6-9,Paul Otieno,Saint Louis,A10,11,C,41.2,1.7,2.3,2.3,0.8,1.5,125.7,93.5,16.6,53.3,60.3,13,12.5,4.8,14.2,0.8,4.8,1.2,53.3,4.9,0.5,0.833,0.5,6.7,0.9,0.667
Jr,6-10,Shon Tupuola,Valparaiso,MVC,10,C,59.5,1.7,2.5,2,1.4,0.6,119.5,102.8,15.6,54.9,58.5,12.6,19.1,5.3,14.1,0.6,7.7,1.2,47.1,2.7,0.611,0.708,0.56,2,0.2,0
Fr,6-0,Eli Ellis,South Carolina,SEC,10,G,62.4,1.7,2.9,0.5,-0.5,1,110.2,102.8,20,45.1,52.5,2.6,9.4,18,12.6,2.2,0,1.9,42,2.1,0.52,0.853,0.51,37,6.3,0.233
Sr,6-6,Davion Sykes,Southern Illinois,MVC,11,F,47.4,1.7,2.2,3.5,1.8,1.7,115.3,98.8,20,57.6,60.2,6.6,22.2,7.6,14.3,0.8,1.1,3.1,43.9,3.8,0.696,0.69,0.585,1.5,0.3,0
Sr,6-8,Ezra McKenna,Buffalo,MAC,11,F,45.5,1.7,1.1,0.2,2,-1.9,128.2,115.7,15.7,65.6,67.6,3.2,17.5,10,13.4,1.2,1.3,0.3,42.2,3.4,0.667,0.737,0.684,57.8,7.8,0.423
Sr,6-10,Nick Pringle,Arkansas,SEC,12,C,52.6,1.7,2.5,1.3,0,1.3,125.1,99.1,11.5,67.6,66.6,8.7,17.1,4.7,16.9,0.9,2.1,1.1,82.4,4.4,0.719,0.607,0.676,0,0,0
So,6-5,Joson Sanon,St. John's,BE,11,G,58.7,1.7,3.2,1.1,-0.1,1.2,106,93.3,20.3,47.1,55.2,3.4,12.6,3.3,18.4,0.3,1.1,2.3,54.1,5,0.407,0.826,0.348,45.9,8.1,0.41
So,6-10,Austin Rapp,Wisconsin,B10,11,C,59.3,1.6,2.3,1.9,1.7,0.2,108.3,104.6,19.9,46,50.8,5.8,11.4,14.6,14.9,1.6,4.8,0.6,23,2.3,0.609,0.9,0.533,65.5,12.1,0.281
Fr,6-5,Kiyan Anthony,Syracuse,ACC,12,G,56.6,1.6,2.3,0.6,1.9,-1.3,101.2,103.8,26.3,49.1,51.4,3.3,6.7,12,13.6,0.9,0.8,1.1,48.6,1.2,0.652,0.585,0.556,33.9,7.8,0.243
So,6-4,Josiah Shackelford,Bowling Green,MAC,10,G,53.9,1.6,2.8,2.7,1.6,1,110.3,95.6,23.2,51.9,56.5,5.8,12.2,9.1,14.7,0.7,1.3,2.9,35.8,3.7,0.64,0.793,0.571,48.1,10.2,0.308
Jr,6-4,Titas Sargiunas,Lipscomb,ASun,10,G,57.2,1.6,1.9,0.7,1.6,-1,110.2,108.3,20.1,58.6,61.6,4.2,8.4,11.8,17.6,1.3,0,1.7,27.6,2.6,0.697,0.81,0.641,48.7,8.7,0.351
Jr,6-9,Antonio Chol,New Mexico,MWC,11,F,66.9,1.6,2.9,2.6,2.3,0.3,113.9,101.9,16.2,55.4,56.6,2.8,11.4,2.5,8.2,0.4,4.4,0.6,19.4,2.2,0.667,0.667,0.548,66.7,11.8,0.371
So,6-2,L.J. Cason,Michigan,B10,9,G,41.4,1.6,2.9,6.4,2.7,3.7,110.6,87.5,19.7,59.8,60.2,2.2,8.1,17.5,22.5,1.4,0,2.9,29.4,2.1,0.714,0.6,0.654,49,7.9,0.36
Sr,6-5,Anias Futrell,Lindenwood,OVC,8,G,61.1,1.6,2.7,3.9,2.9,1,103.5,104.6,24.9,49.5,52,4,15.5,12.7,14.5,1.2,3.3,3.7,25.2,3.5,0.514,0.692,0.436,46.6,11.6,0.375
Fr,6-9,Timofei Rudovskii,Bryant,AE,11,F,81.9,1.6,2.6,0.9,0.9,0,100.4,109.8,21.6,54.2,58,3.7,14.2,17.2,23,0.9,1.7,2.7,25.2,3.2,0.625,0.852,0.5,58.9,10.4,0.381
Sr,6-6,Jamil Muttilib,Grambling St.,SWAC,10,G,62.1,1.6,2.3,3.8,2.7,1,114.1,106.5,17.5,63.2,65.8,2.6,11.5,3.7,17.3,0.3,1.8,4,25,2.9,0.778,0.833,0.708,66.7,11.2,0.396
Sr,6-3,Sincere Parker,Memphis,Amer,11,G,47.8,1.6,2.3,3.2,2,1.2,104.7,98.5,24.9,43.6,46.6,4.4,14.2,15.6,8.4,1.9,1.2,2.4,26.5,3.9,0.581,0.667,0.447,25.5,6.8,0.269
Jr,6-3,Jean Aranguren,George Washington,A10,12,G,54.8,1.6,2,1.2,1.3,-0.1,110.5,106.8,21,57.7,60.8,7.5,9.9,21.1,25.5,1.3,2.2,1.7,58.5,4.7,0.59,0.684,0.574,27.7,3.7,0.389
So,5-11,Ben Hammond,Virginia Tech,ACC,13,G,65.2,1.6,2.9,1.6,-0.3,2,106.9,101.1,21.2,44.1,50.4,0.3,7,21.6,14.9,2.4,0.3,3.8,36,2.5,0.556,0.825,0.43,28.8,5.3,0.313
Fr,7-1,Efe Demirel,Grand Canyon,MWC,11,C,51.9,1.6,2.6,3.2,1,2.2,118.7,96.5,16.6,62.7,64.4,11.4,16,5.2,18.2,0.5,4.7,1,49,3.7,0.705,0.68,0.627,0,0,0
Sr,6-8,Jaxon Ellingsworth,Arkansas St.,SB,12,F,62.7,1.6,2,0.5,1.1,-0.6,110.8,109.8,18.5,48.3,54.1,8,14.7,7.2,16.4,0.7,0.7,2.3,42.2,4.1,0.588,0.789,0.49,45.6,7.4,0.317
Fr,6-7,Connor Igoe,Columbia,Ivy,10,F,42.1,1.6,1.9,2,0.4,1.6,119.3,100,22,52.3,59.4,10.7,18.3,18.9,20.5,1.6,0,2.4,69.8,6.6,0.565,0.767,0.536,34.9,5.2,0.333
Jr,5-11,Johnny Kinziger,Illinois St.,MVC,11,G,79.8,1.6,3.5,1.2,0.1,1.1,105.6,100.8,20.8,52.7,55.3,1,8.4,16.2,18.8,1.4,0,2.6,25.9,2.6,0.733,0.724,0.542,47.3,8.6,0.34
Jr,6-4,Bryce Ford,Arizona St.,B12,10,G,54.4,1.6,2.2,1.3,1.5,-0.2,114.4,108.5,14.8,56.3,57.9,1.9,8,4.9,10.2,1,1,1.5,22.5,2.6,0.6,0.688,0.433,57.7,8.8,0.439
So,6-6,"Ryan Jackson, Jr.",William & Mary,CAA,10,G,47.2,1.6,2.1,1.4,-0.2,1.6,125.3,101.4,12.8,63.8,63.6,5.3,12.7,7.6,8.7,3.8,1.8,2.5,50,5.3,0.667,0.6,0.667,10,1.1,0.25
Sr,6-2,Ja'Borri McGhee,Mississippi St.,SEC,12,G,59.5,1.6,2.1,0.4,0.4,0,108.8,107,19.1,53.2,56,0.7,9.9,12.5,15,1.3,0,1.7,25.5,2.5,0.483,0.75,0.448,38.3,6.9,0.444
Jr,5-11,Jaylen Smith,East Tennessee St.,SC,11,G,61.8,1.6,2.4,0.8,0.3,0.6,103.8,104.7,24.8,50.5,52.3,2.7,10.7,24.5,18.2,1.5,1,4.5,21,5,0.55,0.667,0.559,66,14.2,0.318
Jr,6-7,Jaylin Stewart,Connecticut,BE,12,F,53.9,1.6,3.3,6.4,2.3,4.1,115.3,88.4,14.9,55.2,56.4,3.9,15.6,13.5,15.3,2.2,2.7,2.1,27.6,3.6,0.824,0.625,0.63,53.4,7.1,0.323
Jr,6-7,Chris Fields Jr.,Campbell,CAA,9,F,61.5,1.6,2.3,0.7,1,-0.3,97.1,105.4,28.9,44.9,51.4,14.3,24.6,12.6,21,0.8,1.7,2.9,77.2,5.1,0.558,0.656,0.466,7.6,1.5,0.167
Sr,6-6,Jack Doumbia Jr.,Towson,CAA,10,G,62.4,1.6,2.8,2.3,1,1.3,94.6,100.2,32,40.5,46.6,8.1,19.5,11.8,18.1,0.6,2.5,3.5,54.3,2.9,0.519,0.667,0.441,11.4,3,0.083
So,6-4,Jordan Brathwaite,Yale,Ivy,10,G,40.9,1.6,1.2,1.1,1.7,-0.6,130.9,111.3,14.4,65.9,67.2,1.6,7.6,6.2,12.8,1.6,0,2.6,13.6,5.1,0.3,0.833,0.278,59.1,9.5,0.615
Jr,6-3,Naithan George,Syracuse,ACC,12,G,74.6,1.6,3.7,2.5,0.9,1.6,101.9,97.3,21,47.2,53.5,2.2,9.3,29.9,25.9,1.8,1.2,3.2,39.3,2.1,0.607,0.829,0.509,40.4,5.8,0.278
Fr,6-4,Jalen Haynes,Southern Illinois,MVC,11,G,41.8,1.6,1.7,4,2.4,1.7,113.5,104,23,55.5,61.5,1.3,11.7,24.9,20.6,1.5,1.8,2.7,60,3.4,0.8,0.788,0.703,32.7,5.3,0.167
So,6-9,Andre Pasha,New Haven,NEC,8,F,72.8,1.6,2.5,2.1,2.1,0.1,104.4,108.2,19.8,55.3,55.6,4,16.9,10.5,14.7,1.2,1.6,2.4,4,1.9,0.6,0.667,0.583,36,7.1,0.333
Sr,6-5,Nate Kingz,Syracuse,ACC,12,G,75.1,1.6,3.6,3.2,1.9,1.3,109.6,97.9,15.6,52.4,52.8,2.8,13.1,5.6,9.2,1.2,2,1.9,19,2,0.667,0.55,0.651,59,9.9,0.29
Sr,6-2,Biko Johnson,Idaho,BSky,8,G,67.8,1.6,2.2,0.1,0.3,-0.3,104.3,109.6,23.2,45,49.8,4.4,9.7,22.1,16.5,1.6,0.5,3,37.1,3.7,0.5,0.731,0.429,60,11.4,0.31
Sr,6-7,Lajae Jones,Florida St.,ACC,12,F,65.2,1.6,2.9,2,0.8,1.2,107,100.7,19.9,50,54.2,4.2,14.5,7.8,15.7,0.7,4.3,2.6,37.8,4.2,0.571,0.738,0.525,64,11.7,0.324
Jr,6-9,ND Okafor,Washington St.,WCC,12,C,55.4,1.6,2.3,0,-1.3,1.3,106.1,102.4,22.8,59.8,60.4,9.1,19.8,4.8,20.2,0.3,8.7,1.7,40.2,6,0.646,0.606,0.598,0,0,0
Sr,6-10,Emmanuel Okorafor,Wichita St.,Amer,11,C,42,1.6,2.3,4.9,1.9,3,118.2,92.9,19.3,63,65.3,11.2,22.2,2.2,20.1,0.3,6.5,2.3,52.2,5.6,0.75,0.708,0.63,0,0,0
So,6-8,Tate McCubbin,Austin Peay,ASun,9,F,79.7,1.6,3.7,2.9,1.2,1.7,109.8,99.8,17.7,50,53.5,1.8,16.9,12.5,10.1,2.6,0.4,2.8,20.7,2.8,0.611,0.842,0.464,69.6,12.7,0.344
Jr,6-7,Jaden Daughtry,Richmond,A10,11,G,41.1,1.6,2.1,5.9,4,1.9,110.7,95.2,28.6,64.8,66.6,5.2,18.8,6.3,20.2,0.3,1.4,3.7,43.2,3.5,0.792,0.714,0.629,23.5,5.8,0.474
Sr,6-6,Jayden Brewer,Western Michigan,MAC,11,F,62,1.6,2.1,1,1.6,-0.6,104.9,108.9,24.2,49,54.9,3.8,25.6,7.5,14.5,0.6,3.8,1.7,47.1,1.9,0.574,0.771,0.5,13.7,2.9,0.286
Jr,6-11,Andrija Grbovic,Arizona St.,B12,12,F,51,1.6,2,1.2,1.3,-0.1,117.9,104,14.9,52.7,54.4,5,14.2,3.8,4.7,1.7,1,1.6,12.3,4.7,0.55,0.778,0.481,63,10.6,0.37
Sr,6-5,Drake Allen,Utah St.,MWC,9,G,52.1,1.6,3.6,6.8,1.2,5.5,109.7,87.5,20,54.8,58.1,0.6,12.9,35.2,28.8,2.5,2,6.1,52.4,4,0.591,0.682,0.56,40.5,4.7,0.353
Jr,6-2,David Thomas,Richmond,A10,11,G,41.8,1.5,1.8,4.5,2.3,2.2,132,101.3,13.9,62,64,2.6,5.2,12.3,8.6,3.5,1.4,3.3,10,3.4,0.385,1,0.417,52,7.8,0.538
Sr,6-3,Ben Johnson,Vermont,AE,12,G,41.3,1.5,1,2.1,2.4,-0.3,129.3,115.2,13.1,59.4,59,0,13.4,12.6,2.3,16,1.2,1.5,12.5,3.4,0.8,0.5,0.545,77.1,11.2,0.405
So,6-3,Gicarri Harris,Purdue,B10,12,G,43.3,1.5,2.2,3.8,1.4,2.3,123.7,96,14.1,50,51,4.3,10.3,10.7,8.2,3.8,0,2.3,10.5,1.7,0.647,0.667,0.462,54.4,9,0.355
So,6-11,Santiago Trouet,Arizona St.,B12,12,C,63.1,1.5,2.6,0.6,0.8,-0.2,111.7,103.3,15.9,44.7,49.6,9.6,17.2,5.9,8.2,1.4,2.9,1.1,38.7,2.8,0.629,0.724,0.516,17.3,2.4,0.077
Jr,6-5,Carl Cherenfant,McNeese St.,Slnd,10,G,46.2,1.5,2.5,5.6,1.8,3.8,126.9,93.4,13.7,63.6,65.9,6.7,16.6,12.5,18.7,1.6,2.3,4.5,36.4,4.1,0.65,0.75,0.682,33.3,3.5,0.364
Sr,6-6,Keonte Jones,Dayton,A10,13,G,73.6,1.5,4,4.8,0.9,3.9,112.5,93.9,15.3,57.7,58.7,5.2,16.9,15.5,18.1,1.7,3.4,3.9,42.3,3.7,0.6,0.606,0.563,17.9,2,0.429
Jr,6-8,Tyler Harris,Vanderbilt,SEC,12,C,40.1,1.5,1.8,0.4,2.8,-2.3,112.9,99.7,22,51.6,51.7,7.3,13.7,3.4,3.8,1.3,6,0.3,22,2.3,0.875,0.5,0.65,56,14.1,0.275
Jr,6-3,Tyler Byrd,Alabama St.,SWAC,10,G,48.8,1.5,1.5,3.5,0.7,2.8,114.5,109.9,18.6,57.5,60.1,1.1,16.5,12,14.1,1.5,1.2,5.2,31.7,4.3,0.679,0.737,0.571,30,5.2,0.389
Jr,6-9,Brigham Rogers,Belmont,MVC,12,C,48.9,1.5,2.2,3.7,1.8,1.8,120,100.4,16.6,71.9,68.2,8.2,13.6,9,18.3,1.2,5,1.4,18.8,3.4,0.772,0.25,0.719,0,0,0
Fr,6-4,Kade Sebastian,American,Pat,10,G,56.3,1.5,1.6,0.9,0.3,0.6,120.5,112.4,14.2,55.6,63.7,5.4,8.5,13.3,19.3,1.9,0.5,3.3,69.4,4.6,0.455,0.84,0.417,66.7,6,0.417
Sr,6-8,Kamari Lands,Middle Tennessee,CUSA,8,F,72.6,1.5,2.7,1.2,1.5,-0.3,100.4,105.8,21.9,45.5,49.3,0.9,16.2,10.3,12.4,1.4,1.3,1.2,27,2.4,0.6,0.75,0.462,56.2,12.3,0.3
Jr,6-4,Maki Johnson,East Tennessee St.,SC,11,G,51.5,1.5,1.9,2.5,2.7,-0.2,123.1,106.7,13.6,56.7,57.4,4.9,12.3,5.3,5.7,2.3,1.8,3.4,6.7,2.6,0.571,0.75,0.571,88.3,13.7,0.377
Fr,6-4,Tate Darner,Chattanooga,SC,8,G,47.5,1.5,1,1.8,3.8,-2,117.3,119.5,17,59.8,60.8,2.2,13.3,11.8,8.2,1.6,0,1.7,13.7,1.9,0.583,0.714,0.444,64.7,11.5,0.455
Fr,6-6,DeShawn Gory,Fresno St.,MWC,11,G,53.5,1.5,1.9,0.2,1,-0.7,111.6,106.8,19.9,53,54,4.9,11.9,10.2,9.6,1.3,0.5,1.4,26.5,3.2,0.636,0.591,0.553,43.4,8.6,0.333
Sr,6-9,Dominic Parolin,Boise St.,MWC,10,C,40.2,1.5,2.2,4,1.6,2.4,117,92.9,17.4,42.9,57.3,14.8,20.7,4.7,16.7,0.6,2.8,1.8,110.7,5,0.429,0.806,0.409,21.4,2.2,0.333
Sr,6-9,Hayden Welling,Utah Valley,WAC,10,F,47.3,1.5,2.1,1.2,1.7,-0.5,105.5,101.6,25.1,55.8,58.2,4.1,12.2,9.2,19.1,0.7,4.5,1.2,30.8,3.4,0.767,0.708,0.551,37.2,8.7,0.379
Jr,6-0,Braeden Smith,Gonzaga,WCC,12,G,43.2,1.5,3,8.6,2.6,6,119.9,82.3,16,48.8,52.9,1.1,12.9,31.6,21,4,0,4.4,25.6,2.1,0.636,0.818,0.5,44.2,4.9,0.316
Fr,6-6,Roman Siulepa,Pittsburgh,ACC,13,G,55.7,1.5,2.3,0.4,0.3,0.1,108.9,103.3,20.1,52.2,50.9,8.9,9.9,6.2,9.4,1,2,2.5,37,3.7,0.567,0.412,0.545,28.3,5.4,0.308
Sr,6-9,JJ Traynor,Murray St.,MVC,12,F,58,1.5,2,1.2,1,0.2,114.9,107.5,18,61.3,61.2,8.7,10,9.3,20.6,0.8,3.5,1,23.8,3.7,0.757,0.579,0.649,28.7,4.5,0.348
Jr,6-5,Garwey Dual,McNeese St.,Slnd,10,G,61.5,1.5,3.3,4.1,0.3,3.8,106.2,94.4,22.6,52,53.6,5.6,8.8,27.7,23.4,2.3,1.8,6,20.3,5,0.636,0.667,0.607,24.3,4.3,0.167
Sr,6-5,Scooter Williams Jr.,Louisiana Tech,CUSA,8,F,55.2,1.5,2.4,3.5,2.4,1.1,107.7,101.7,23.9,47.1,51,6,13.7,9,11.6,1.2,3.9,1.1,35.3,3.4,0.621,0.708,0.605,36.8,8.6,0.16
So,6-3,Fazl Oshodi,Southern,SWAC,9,G,49.1,1.5,0.9,1.9,3.1,-1.2,117.4,119.9,15.9,53.8,54.9,0.6,5.1,6.4,5.6,2,1.8,2.1,4.5,2.4,0.333,1,0.211,71.2,13.9,0.447
So,6-10,Khani Rooths,Louisville,ACC,12,F,40.2,1.5,2.5,5.1,1.8,3.3,116,88.3,18.5,51.8,55.6,4,23.9,14.3,13.6,1.9,1.7,2.5,50,2.7,0.792,0.679,0.741,51.8,8.1,0.207
Fr,6-4,Adrien Stevens,Marquette,BE,13,G,46.5,1.5,1.8,2.8,1.1,1.7,122.8,104.7,13.5,58.9,60,4.5,7.7,11.4,11.7,2.1,0,3.2,12.9,3.4,0.688,0.75,0.611,71,10,0.386
Jr,6-8,Isaiah Malone,Florida Gulf Coast,ASun,11,C,40.8,1.5,1.5,0.8,0.3,0.5,120.4,107.2,18.7,55.7,59.8,11.2,23,3.9,13,0.6,9.6,2.1,45.3,7.8,0.583,0.75,0.543,13.2,2.1,0.429
So,6-0,Redd Thompson Jr.,Longwood,BSth,12,G,45.7,1.5,0.8,0.1,3,-2.9,109.4,119.5,26.7,52.4,59.3,3.5,12.2,24.5,21,1.3,0,1,45.2,4.1,0.636,0.868,0.531,61.9,13.3,0.346
Fr,6-5,Derek Dixon,North Carolina,ACC,12,G,42.6,1.5,2.1,3.9,2.8,1.2,117.3,97.5,17.1,56.1,60.8,2.3,12.9,18.1,20.1,1.8,0,0.6,36.7,1.6,0.2,0.833,0.313,67.3,9.4,0.455
Sr,6-7,Jalen Warley,Gonzaga,WCC,12,F,49.5,1.5,3.7,7.6,1.5,6.2,115.9,79.1,16.1,51.9,55.1,8.5,17.9,10.4,15.4,1.7,2.6,4.3,61.5,5,0.537,0.625,0.519,0,0,0
So,6-6,Micah Robinson,TCU,B12,11,G,57.2,1.5,3.3,3.5,0.6,2.9,106.4,90.7,20.9,44.8,53.4,6,19.8,8.9,16.3,0.9,3.3,2.7,80.6,3.9,0.387,0.722,0.333,46.3,7,0.387
Jr,5-11,Jordan Marsh,USC,B10,12,G,47.8,1.5,2,2.2,1.4,0.8,115.5,102.4,17.3,59.8,64.5,1.6,9,21.4,24,1.7,0.5,2.1,54.9,3.7,0.4,0.786,0.393,45.1,5.3,0.565
Jr,6-7,Adam Harakow,Wyoming,MWC,11,G,40.7,1.5,1.7,3.2,2.7,0.5,125.8,102.4,15.3,58.7,59.2,5,10.9,6.4,8,2,0.7,2.8,28.8,3.8,0.545,0.6,0.583,53.8,8.6,0.393
Sr,6-3,Wilson Dubinsky,Marshall,SB,12,G,50.7,1.5,1.8,1.1,1.2,-0.2,123.4,107.3,13.4,52.9,58.8,6.5,11.8,8.7,13.8,1.6,0,1.8,35.3,3.6,0.333,0.889,0.3,80.4,9.5,0.39
Sr,6-11,Felix Okpara,Tennessee,SEC,11,C,63.2,1.5,3.7,5,1.7,3.2,113.3,91.2,14.1,55.6,57.1,8.1,14.7,3.6,17.7,0.5,9,1.2,38.1,2.3,0.634,0.625,0.527,12.7,1.7,0.5
Jr,6-9,Seth Joba,Idaho,BSky,8,C,43.3,1.5,1.4,1,1.6,-0.7,119.6,108.7,17.7,62.5,63.3,8.6,24.2,9.2,16.8,1.1,4.1,0.4,10,5.8,0.8,0.75,0.625,60,10.2,0.417
Sr,6-8,Sincere Malone,Nicholls St.,Slnd,9,F,83.8,1.5,2.7,0.2,-0.6,0.8,109,109.8,16.3,62.1,64.4,2.5,11.9,14.1,23.3,1,1.2,3.2,45.2,3.1,0.719,0.714,0.651,30.6,3.6,0.368
Sr,6-6,Joshua O'Garro,Cal St. Northridge,BW,9,F,72.9,1.5,2.6,0.8,1.3,-0.5,101.1,109.5,22.3,54.3,54.8,6.5,24.8,16.1,21.6,1,2.2,1.9,22.1,2.2,0.691,0.565,0.614,32.7,6.3,0.265
So,6-5,Qadir Martin,Mercyhurst,NEC,11,C,78.3,1.5,3,2,0.8,1.2,113.6,105.3,15.7,57.4,55.9,8,17.4,5,7.9,1.1,9.6,2.3,20.5,2.4,0.75,0.389,0.605,13.6,2.1,0.25
Sr,6-9,Khouri Carvey,North Carolina Centr,MEAC,10,C,67.5,1.5,1.7,0.1,1,-0.9,96.9,114.5,26.7,51.6,52.7,10.2,18.6,15.4,17.1,0.7,7,2,61.5,4.7,0.615,0.536,0.524,7.7,1.5,0.286
Fr,6-6,JJ Kelly,Ohio,MAC,11,F,55.7,1.4,1.8,0.8,0.3,0.5,116.4,109.7,13.4,57.8,61.6,5.9,13.8,5.2,16.9,0.6,3.8,1.6,27.5,4,0.704,0.857,0.629,31.4,3.6,0.313
Sr,6-4,JJ Starling,Syracuse,ACC,10,G,57.9,1.4,3.2,1.4,1.3,0.1,101.3,99.5,20.1,49.5,49.6,1.2,9.6,15.8,13.4,1.8,1.1,1.3,24.5,2.1,0.545,0.478,0.476,33,6.4,0.355
Jr,6-4,Chuck Bailey III,Nevada,MWC,12,G,57.9,1.4,2.2,0.9,1.3,-0.4,107.7,105.7,18.9,44.2,46.8,5.5,13.3,14.4,7.8,2.9,1.4,1.7,18.9,4.1,0.455,0.722,0.375,32.6,6.5,0.387
Jr,6-5,Dorian Finister,Louisiana,SB,13,G,79.6,1.4,2.4,0.3,0.7,-0.4,100.4,111,23.3,46.9,52.2,4.2,13.6,12.7,15.5,0.8,2.5,1.7,44.5,3.2,0.553,0.737,0.494,33.6,6.5,0.279
So,6-10,Robert Miller III,LSU,SEC,11,C,48.8,1.4,2.4,4.8,1.4,3.5,120,97.7,15,67.9,72.7,6.5,12.3,5.5,24.3,0.6,6,1.8,146.4,4.4,0.75,0.756,0.704,3.6,0.3,0
Sr,6-3,Chase Johnston,High Point,BSth,11,G,41.7,1.4,1.3,3.3,3.1,0.2,124.9,110.3,15.6,60.9,61.6,1.2,5.7,5.5,7.7,2,0.7,4,3.1,4.3,0,1,0,98.4,19,0.413
So,6-4,Josh Ahayere,Colgate,Pat,10,G,49.1,1.4,1.8,1,0.3,0.8,117.6,106.6,14.5,55.3,57.3,1.2,17.5,8.7,6.1,3,1.1,2.6,31.9,4.4,0.632,0.667,0.531,31.9,4.5,0.4
Sr,6-4,Efrem Johnson,Clemson,ACC,12,G,44,1.4,2,3.2,2,1.2,121.6,99.7,14.5,49.1,53.8,2.7,9.1,7.5,5.8,3,1.8,1.4,22.4,1.3,0.667,0.923,0.6,65.5,10.6,0.289
Fr,6-8,Timotej Malovec,Miami FL,ACC,12,F,47.2,1.4,2.2,3.1,2.1,1,123.7,98.7,13.8,59,60.6,2.1,9.2,10,15.8,1.8,2,1.5,11.5,3,0.5,0.857,0.375,86.9,12.8,0.415
Jr,6-8,Isaac Finlinson,Hawaii,BW,10,F,44.3,1.4,2.4,3.8,1.9,1.9,116,94.6,20.3,62.8,66.6,4.1,15.2,6.7,19.8,0.4,0.6,0.9,78.7,2.9,0.625,0.73,0.593,42.6,6.2,0.45
Sr,7-0,Quincy Ballard,Mississippi St.,SEC,12,C,55.3,1.4,2.4,1,0.5,0.5,115.3,101.5,14.3,57.1,58.9,8.3,22.7,2.6,14.4,0.4,4.9,0.4,22.2,2.4,0.641,0.714,0.571,0,0,0
So,6-10,Ryan Soulis,Columbia,Ivy,10,C,52,1.4,2.4,4.2,2,2.2,119.2,99.5,16.5,58.2,60.6,9.2,17.3,11.4,20.4,1,7.4,1.1,30.6,2.7,0.867,0.733,0.583,26.5,3.7,0.385
So,6-6,Andrea Holden,Wright St.,Horz,10,C,42.3,1.4,2.2,5.1,1.6,3.4,116.6,94.6,19.2,67.4,66.1,13.5,23,6.7,21.2,0.4,10.3,3.7,30.2,5.4,0.704,0.538,0.674,0,0,0
