YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-3,Ryan Conwell,Louisville,ACC,12,G,70.1,4.6,3.9,9.1,7.1,1.9,123.7,92.9,26.4,55.4,60.9,3,13.7,15,12.2,1.4,0.6,2.6,42.7,4.5,0.576,0.836,0.467,71.3,18,0.393
Sr,6-3,Quinn Denker,Northern Colorado,BSky,7,G,60.7,4.6,1.9,5.9,6.2,-0.3,124.4,115.4,28.2,59.4,63.8,1.1,10.8,33.2,14.2,2.8,0.4,1,44.4,3.3,0.643,0.8,0.63,40,9,0.361
Sr,6-3,Derrian Ford,Temple,Amer,11,G,87.3,4.6,1.9,2,4.9,-2.9,120.3,117.3,24.3,51.5,59.8,2.9,13,9.9,9,1.4,0.3,1.1,59.4,1.7,0.556,0.848,0.494,39.1,8.1,0.365
Sr,6-1,Ja'Kobi Gillespie,Tennessee,SEC,11,G,80.5,4.6,4.1,7.2,5.7,1.5,117.7,95.9,26.8,50.6,54.6,2.3,6.6,31.2,18.3,2,1.4,2.3,22.8,3.3,0.563,0.865,0.493,53.7,14.2,0.345
Jr,6-9,Malik Reneau,Miami FL,ACC,12,C,65.5,4.5,3.4,9.7,7.8,1.9,124.4,94.9,31.4,60.3,63.7,13.2,15.6,17.2,15.5,1,4.7,1.2,35.8,3.9,0.636,0.797,0.614,15.2,4.4,0.36
Jr,7-0,Nolan Winter,Wisconsin,B10,11,C,71.6,4.5,3.5,8,5.8,2.3,135.1,97.4,19,62.9,66.2,10.3,27.3,11,10.2,1.6,4.7,1.6,37.1,4,0.83,0.806,0.731,30.9,5.3,0.267
Fr,6-5,Tounde Yessoufou,Baylor,B12,11,G,73.5,4.5,3.2,6.3,5.3,1,122.1,101.1,26.3,53.9,57.7,9.3,12.4,11.2,13.5,1,2.3,3.7,31.2,3.2,0.73,0.792,0.571,36.4,9.5,0.321
Jr,6-5,Blue Cain,Georgia,SEC,11,G,64,4.5,3.6,11.1,7.9,3.2,139.1,92.1,21.4,57.8,63,7.1,14.7,15,7.5,3,0.7,4,37.1,2.4,0.761,0.884,0.714,51.7,10.7,0.3
So,6-1,Robert Wright III,BYU,B12,12,G,81.5,4.5,4.5,7.4,5.5,2,118.7,93.4,25.3,54.6,57.2,3.1,9.1,29,16.1,2.3,0.3,3.1,24.5,1.4,0.525,0.757,0.49,31.1,6.8,0.447
Sr,6-8,Jacob Crews,Missouri,SEC,12,F,59.8,4.5,2.2,10.2,11.2,-1,152.1,106.1,18.5,75.5,76.5,8.5,14.9,2.4,9.5,0.4,0.9,1.2,25,2.8,0.808,0.808,0.676,67.3,13.7,0.529
