YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Jr,6-5,Mason Jones,Arkansas,SEC,65,G,76.6,4.3,3.7,6.8,5.4,1.5,111.2,94.2,26.9,52.6,59.6,2.2,14.6,20.6,16.1,1.3,0.6,2.2,54.9,3.5,0.717,0.819,0.513,53,10.9,0.358
Sr,6-4,Cam Spencer,Connecticut,BE,130,G,68.1,4.3,3.7,7.5,5,2.5,124.8,96.3,20,56.8,60.3,2.8,12.7,19.8,10.9,2.9,0.6,2.9,23.7,2.3,0.644,0.878,0.513,48.1,9.3,0.419
Sr,6-3,Collin Gillespie,Villanova,BE,156,G,66,4.3,3.4,5.8,4,1.8,118,95.9,21.1,53.8,58.3,1.4,10.3,21.4,14.2,2.2,0.1,2.1,30.4,2.8,0.563,0.848,0.475,60.4,11.4,0.387
Jr,6-5,Manny Harris,Michigan,B10,96,G,83.7,4.3,3.8,6.5,4.9,1.6,102.3,93.9,30.8,45.6,53,5.4,15,26.6,19.4,1.2,1.2,2.8,45.3,2.2,0.667,0.828,0.448,34.8,8.5,0.315
Sr,6-2,Quinn Cook,Duke,ACC,143,G,69.7,4.2,3.6,6.7,4.9,1.8,119.1,94.5,20.1,52.8,56.8,1.6,9.2,23.4,14.6,2.5,0.2,2.3,25.4,2.6,0.638,0.853,0.492,50.9,9.3,0.375
Sr,6-2,Myles Powell,Seton Hall,BE,129,G,75.2,4.2,3.5,6.6,5.3,1.3,110.7,97,26.5,52,56.2,2.5,9.3,16.1,14.8,1.1,0.7,2.4,29.9,2.9,0.596,0.814,0.522,57.5,14.3,0.346
Jr,6-5,Ayo Dosunmu,Illinois,B10,89,G,77.3,4.1,3.9,5.9,4.4,1.5,106.4,94.3,26.2,51.4,54.9,2.8,13.8,24.1,17.8,1.4,0.7,1.8,27.5,2.3,0.67,0.752,0.514,26.6,6.1,0.343
Jr,6-1,Ray McCallum,Detroit Mercy,Horz,97,G,86.6,4.1,3,5.3,4.8,0.5,111.9,101.9,24,50,55.1,4.2,12.3,26.1,16.1,1.9,1,2.8,51.8,2.4,0.635,0.72,0.525,28.8,5.5,0.294
Jr,6-2,Anthony Barber,N.C. State,ACC,104,G,76.8,4,2.9,3.2,3.4,-0.2,108.6,102.7,25.6,46.3,52.9,2.2,9.3,25.4,16.1,1.8,0.1,1.3,45.5,2.4,0.584,0.793,0.448,20.2,4.3,0.347
Sr,6-5,Malcolm Brogdon,Virginia,ACC,136,G,73.9,4,4.4,7.7,4.4,3.3,111.7,88.1,24.2,49.6,55.6,2.6,14.2,17.7,13.9,1.7,0.9,1.9,34.6,2.4,0.609,0.876,0.466,36.2,8,0.365
So,6-4,Jordan Crawford,Xavier,A10,65,G,68.5,4,3.3,7.2,5.8,1.3,109.9,93.9,26.2,52.3,55.5,4.3,11.1,19.5,17.1,1.2,0.7,2.3,26.8,2.2,0.624,0.765,0.494,35.2,8.6,0.384
Sr,6-1,Chasson Randle,Stanford,P12,144,G,82.3,4,3.6,5.4,4,1.4,109.8,96.2,24.8,51.4,56.6,1.8,9.6,16.2,16.3,1.1,0.3,2.1,38.4,3.2,0.544,0.806,0.462,44.3,9.8,0.386
Fr,6-3,Jase Richardson,Michigan St.,B10,36,G,61.5,3.9,3.5,10,5.8,4.3,128.3,92.4,19.4,57.4,62.4,3,11.4,14.4,9.9,2.3,1.4,1.9,41.8,2.4,0.69,0.836,0.545,39,7.3,0.412
Sr,6-1,Carlik Jones,Louisville,ACC,112,G,77.3,3.9,3.2,4.7,3.4,1.3,110.5,101.3,27.3,48.5,53.2,2.1,14.9,30.7,14.9,2.1,0.5,2.5,37.9,2.1,0.578,0.792,0.484,25.3,5.8,0.325
Sr,6-2,Seth Curry,Duke,ACC,137,G,76.2,3.8,3,5.7,4.8,0.9,114.9,97.4,22.2,52.9,57.5,2.3,7.7,13.3,13.7,1.3,0.6,2.3,33,2.3,0.603,0.825,0.468,52.1,10.9,0.391
Sr,6-6,Buddy Boeheim,Syracuse,ACC,121,G,74.2,3.8,2.8,3.6,3.9,-0.3,109.1,102.7,22.5,51.1,53.7,1.9,6.4,14.4,11.5,1.6,0.4,2.1,16.5,2,0.604,0.827,0.472,56.3,13.2,0.36
Fr,6-4,Jalen Suggs,Gonzaga,WCC,30,G,67.5,3.8,4.1,8.5,4.3,4.2,110.4,85.9,25.3,55.9,59.4,2.7,18,23.7,21.5,1.5,1.1,3.5,37.1,3.6,0.638,0.754,0.586,33.9,6.4,0.337
Sr,6-4,Ron Baker,Wichita St.,MVC,121,G,65.1,3.8,4.1,9.4,5.9,3.6,117.6,89.9,21.3,52.8,57.5,3,13.3,18.9,13.7,2,2.4,2.7,36.3,2.3,0.657,0.801,0.505,54.6,10.7,0.365
So,6-5,Zach Norvell Jr.,Gonzaga,WCC,74,G,71.7,3.8,3.7,7.3,4.9,2.3,120.5,92.7,21.7,55.8,59.2,4,11.4,15.3,13.6,1.8,0.3,2.3,25.3,2.8,0.628,0.836,0.56,60.8,12.4,0.371
Sr,6-0,Keifer Sykes,Green Bay,Horz,119,G,83.5,3.8,3.2,3.6,3.3,0.3,108.4,99.9,26.8,48.3,54.4,2.4,10.6,28.5,16,1.8,0.3,2.2,45,2.7,0.598,0.783,0.481,22.3,5,0.327
Sr,6-4,Quinndary Weatherspoon,Mississippi St.,SEC,130,G,75.3,3.8,3.6,6.3,4.3,2,110.9,96.4,24.5,54.1,58.5,5.4,13.4,15.5,17.7,1,1.3,2.8,36,3,0.636,0.787,0.539,34.5,7.1,0.363
Jr,6-4,AJ Green,Northern Iowa,MVC,94,G,65.5,3.7,2.9,1.9,3.2,-1.3,103.6,103.8,28.7,50.5,54.9,1.1,10.9,16.9,16.6,1,0.2,1.2,26.5,2.1,0.559,0.898,0.447,49.3,12.6,0.376
Jr,6-3,Nigel Williams-Goss,Gonzaga,WCC,100,G,83.2,3.7,3.9,5.1,3.5,1.6,108.9,95.9,25.1,50.4,54.6,2.4,13.7,29.4,17.7,1.9,0.4,2.3,29.2,2.2,0.648,0.806,0.506,23.7,5,0.331
Jr,6-6,Klay Thompson,Washington St.,P12,97,G,83.9,3.7,4,6.3,4.5,1.8,102.6,92.4,28.4,50.8,54.9,3.3,13.3,18.4,18.6,0.9,2.5,2.4,25.6,2.9,0.605,0.828,0.449,44.1,11.3,0.389
Fr,6-5,Coby White,North Carolina,ACC,35,G,69.2,3.7,3.7,7,4.7,2.3,108.7,92.1,26.1,51.6,55.6,1.3,11.4,24.4,19,1.5,1.3,2,29.3,2.7,0.667,0.8,0.502,52.5,12.3,0.352
Jr,6-4,Isaiah Wong,Miami FL,ACC,132,G,77.1,3.7,3,3.4,3.3,0.1,108.5,101.1,23.6,50.2,55.3,3.4,12.1,13.8,13.9,1.3,1.3,1.8,36.5,2.1,0.587,0.807,0.491,35.6,7.3,0.347
Sr,6-4,E'Twaun Moore,Purdue,B10,140,G,80.2,3.7,4.2,6.9,4.6,2.3,106,88.7,25.3,50.8,53.6,3.9,12,20,15.3,1.4,1.4,2.2,25.4,2.9,0.614,0.729,0.473,36,8.5,0.38
Sr,6-5,Max Shulga,VCU,A10,159,G,58,3.6,3.4,5.9,3.8,2.1,117.4,96.5,21,54.8,60.6,3.5,14.5,21.6,18.2,1.8,0.7,2.3,49.3,2.5,0.612,0.82,0.497,55.3,8.9,0.393
Sr,6-2,Darius Johnson-Odom,Marquette,BE,105,G,75.9,3.6,3.3,4.9,4.2,0.6,108.3,96,24.6,53.2,56.4,2.1,9.4,17.1,16.5,1.2,0.6,1.7,34,2.9,0.602,0.722,0.476,43.7,9.9,0.403
Sr,6-4,Skylar Mays,LSU,SEC,130,G,75.5,3.6,3.1,5.3,3.6,1.7,115.1,100.5,19.9,52.1,58.1,1.8,11.4,17.1,16.7,1.6,0.7,3,40.7,2.2,0.578,0.845,0.522,42.8,7.2,0.346
Sr,6-5,Tristen Newton,Connecticut,BE,156,G,77.1,3.6,3.6,5.5,3.6,1.8,109.3,96.1,23.8,47.3,54.7,3.8,14.3,29.5,19.5,2,1,2.1,47.1,2.6,0.556,0.83,0.458,43,7.7,0.329
Jr,6-5,Jordan Clarkson,Missouri,SEC,93,G,74,3.6,3,3,3,0,105.6,100.8,27.2,48.4,54.8,3.2,9.1,20.5,19.2,1,1,1.8,45.5,2.9,0.624,0.805,0.484,27.4,6.1,0.322
Jr,6-3,Shelvin Mack,Butler,Horz,106,G,78.1,3.6,3.7,6.3,4.6,1.8,107.7,92.8,25.7,50.2,54,3.3,13.2,25.4,17.2,1.5,0.3,2.2,30.9,2.5,0.624,0.757,0.474,49.3,11.1,0.355
Jr,6-5,Jalen Harris,Nevada,MWC,64,G,45.9,3.5,2.9,4.3,3.9,0.4,107.4,99.4,28.7,50.6,56.9,3.1,14.8,21.6,14.9,1.3,0.9,1.9,32.2,2.9,0.622,0.831,0.498,36.5,9.3,0.347
Jr,6-1,Ky Bowman,Boston College,ACC,98,G,87.9,3.5,3.8,4.2,3.1,1.1,104.4,99.1,25.5,51.6,55,2.6,17.4,22.9,18.8,1.3,1.1,2.2,28.5,2.9,0.573,0.762,0.467,42.9,9.3,0.388
Fr,6-4,Keyonte George,Baylor,B12,33,G,69.3,3.5,3.1,4.7,4.2,0.4,102.7,97.9,29.8,47,52.4,4.2,13.6,20,19.8,1,0.7,2.3,36.4,3,0.585,0.793,0.424,55.3,14.2,0.338
Fr,6-3,Cole Anthony,North Carolina,ACC,22,G,57.2,3.4,3.9,4.3,3,1.4,97.6,95.3,29,45.1,50.1,1.4,16.4,23.9,19.6,1.1,0.9,2.1,37.1,3.3,0.536,0.75,0.402,40.9,10.4,0.348
Fr,6-1,Tyrell Terry,Stanford,P12,31,G,78.2,3.4,4.3,5.2,2.7,2.5,106,88.6,24.3,53.5,58.9,1.4,14.4,20.3,19.4,1.2,0.2,2.5,33,2.5,0.604,0.891,0.47,45.6,8.7,0.408
So,6-3,Donovan Mitchell,Louisville,ACC,65,G,64.7,3.4,4.1,8.5,4.1,4.4,114.2,86.6,22.4,49.5,53.2,4.7,13.1,15.9,13.4,1.7,1.3,3.3,26.3,3.9,0.604,0.788,0.497,47,10.3,0.329
