YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Jr,6-6,Tyrese Proctor,Duke,ACC,106,G,71.2,3,3.6,4.4,2.7,1.7,114.7,95.8,18.6,52.3,54.8,1.5,9.9,18.3,14.2,2.4,0.4,1.4,20.4,2.3,0.563,0.768,0.492,55.9,10.1,0.365
Sr,6-3,Jeff Dowtin,Rhode Island,A10,128,G,76.4,3,3.4,4,2.5,1.5,112.9,99.3,18.2,50.2,53.3,2.1,8.2,22,12.5,3,1.3,1.9,30,1.9,0.597,0.715,0.485,30.1,4.9,0.361
Sr,6-2,Jamaree Bouyea,San Francisco,WCC,156,G,65.6,3,3.4,4.8,2.4,2.4,106.8,95.5,20.8,53.4,55.4,1.9,13.2,19.1,17.1,1.6,1.9,2.8,23.8,2.3,0.614,0.707,0.556,37.8,6.9,0.332
Jr,6-2,Mac McClung,Texas Tech,B12,79,G,58.1,3,2.9,2.9,2.5,0.4,103.5,98.3,26.7,46.4,51.9,2.5,8.6,16.3,14.5,1.1,0.9,2,36.2,2.7,0.556,0.797,0.461,39.3,9.7,0.312
So,6-4,Kobe Bufkin,Michigan,B10,61,G,51.7,2.9,3.3,4.5,2,2.4,107.4,95.7,20.7,52.2,55.9,2.9,11.4,14.7,16.1,1.3,1.9,2.3,24.8,3,0.675,0.833,0.541,35.8,6.6,0.325
Sr,6-3,Kendrick Nunn,Oakland,Horz,126,G,69.5,2.9,3.1,4.4,3.3,1.1,106.1,100.3,23.3,52.8,55.7,1.7,12.4,15.4,14.3,1.2,0.8,2.3,18.9,2.4,0.632,0.821,0.474,51.7,11.7,0.386
Fr,6-2,Darius Garland,Vanderbilt,SEC,5,G,10.8,2.9,2.4,4.6,3.5,1.1,110.1,104.3,26.9,63.9,65.7,1.6,13.7,25.7,23.2,0.9,1.5,1.7,29.6,2,0.625,0.75,0.581,42.6,9.6,0.478
Sr,6-6,Darrun Hilliard,Villanova,BE,131,G,64.1,2.9,3.4,6.6,3.6,3,109.5,91.6,21.3,52.9,56.9,2.4,10.5,15.5,16.5,1.3,1.5,2.9,38.8,3.1,0.589,0.748,0.505,50.7,9.7,0.368
Sr,6-4,Jordan Sibert,Dayton,A10,122,G,44.5,2.9,3,5.1,3.3,1.8,109.1,94.8,21.7,53.8,57.4,1.7,10.2,12.8,14.7,1.1,0.5,2.6,37.6,2.7,0.709,0.738,0.526,59.4,11.6,0.364
Sr,6-4,Dakota Mathias,Purdue,B10,141,G,63.3,2.9,3.3,5.8,3.2,2.5,119.2,93.7,15.5,57.5,59.5,0.8,12.5,19.8,16,2.7,0.5,1.7,16.7,2.8,0.667,0.805,0.466,67.3,9.7,0.419
Jr,6-3,Duane Washington Jr.,Ohio St.,B10,94,G,58.8,2.9,2.7,3.6,3.6,0,102.9,97,24.6,49.7,52.7,1.1,12.3,15.7,14.9,1.2,0.1,0.9,19.9,2.2,0.547,0.8,0.442,55,13.3,0.361
Sr,6-2,Brandon Goodwin,Florida Gulf Coast,ASun,117,G,66.9,2.8,2.5,2.2,2.5,-0.4,107.6,106.3,24.6,52,54.9,4,11.8,24.6,19.4,1.7,0.3,2.1,46.2,2.3,0.621,0.713,0.551,32.3,6.2,0.303
Sr,6-4,Nazareth Mitrou-Long,Iowa St.,B12,131,G,45.3,2.8,2.9,4.1,3.2,0.9,114.1,98.4,17.7,58.7,60.3,1.7,10.2,12.6,15.1,1.7,0.3,1.6,18.1,3,0.734,0.751,0.632,71.8,12.1,0.38
Sr,6-6,Pelle Larsson,Arizona,P12,133,G,64.7,2.8,3.1,4.6,2.4,2.2,113.6,95,18.4,56.9,62,3.7,11.9,17.9,22.1,1.6,1.1,1.7,45.9,3.8,0.643,0.813,0.553,40.2,5.4,0.396
Jr,6-4,Jared Cunningham,Oregon St.,P12,97,G,68.8,2.8,3,3.9,1.7,2.1,102.9,96.4,24.3,50.3,57.3,4.1,8.8,14.7,22.5,0.8,1,4.6,67.8,3.6,0.597,0.753,0.498,29.2,5,0.343
Sr,6-1,Mike James,Lamar,Slnd,51,G,56.4,2.7,2.3,2.6,2.7,-0.1,105.4,102.9,26.7,48.4,52.3,3.2,8.1,15.7,15.6,0.9,0.4,3.1,25.8,3,0.641,0.798,0.487,29.3,7.8,0.319
Sr,6-2,Xavier Munford,Rhode Island,A10,60,G,87.9,2.7,3.2,2.3,2.5,-0.2,97.6,101.5,27.1,47.5,51.2,1.5,9.5,15.4,16.9,0.8,1.1,1.9,33.6,2.5,0.596,0.708,0.449,44,10.9,0.339
Sr,6-4,Troy Caupain,Cincinnati,Amer,137,G,71.8,2.7,3.8,4.6,2.1,2.5,109.7,92.6,20.2,46.7,51.6,2.1,12.2,25.7,17.6,2.5,0.9,2.4,37.1,2,0.588,0.762,0.439,41.7,7.1,0.338
So,6-5,Jordan Poole,Michigan,B10,75,G,53.9,2.7,3.9,6.2,2.7,3.5,108.3,88.5,20.9,53.7,57.7,0.8,10.3,11.9,13.8,1.3,0.9,2.1,25.8,2.6,0.714,0.829,0.519,57.1,11.2,0.367
Fr,6-3,Cory Joseph,Texas,B12,36,G,80.4,2.7,4.2,5.5,2.5,3,110.9,89.5,16.8,50.3,52.6,2.2,9.5,17.3,16.1,2,0.9,1.9,22.7,2.2,0.479,0.699,0.429,39.1,6.3,0.413
Sr,6-5,Quenton Jackson,Texas A&M,SEC,86,G,60.6,2.7,3,5.4,2.6,2.8,104.9,92.8,24.8,51.3,57.7,2.3,12.3,16.4,20.3,0.9,1.6,3.5,53.6,3.6,0.624,0.793,0.522,36.8,7.2,0.331
Sr,6-6,Josh Richardson,Tennessee,SEC,134,G,70.1,2.7,3.3,4.8,2.3,2.5,106.7,96.3,18.6,50.5,54.3,3.6,10.4,14.3,18.7,1.2,2.5,2.5,31.5,3.1,0.635,0.756,0.515,30.7,5.1,0.321
Sr,6-3,Dusty Hannahs,Arkansas,SEC,131,G,59.8,2.6,1.9,2.6,3.8,-1.2,113,106.7,20.8,53.4,58.2,2.1,5.9,7.9,13.9,0.8,0.2,1.2,28.3,3,0.658,0.888,0.465,53.7,11.2,0.395
So,6-7,Patrick McCaw,UNLV,MWC,62,G,77.1,2.6,3.5,5.5,3.1,2.4,108.3,96.6,19.8,53.4,55.9,3.2,10.8,20.4,16.8,1.7,1.2,3.4,25.9,2.4,0.627,0.75,0.519,55,9.5,0.364
Fr,6-5,Blake Wesley,Notre Dame,ACC,34,G,70.6,2.6,3.2,0.7,0.3,0.4,94.4,95.8,30.7,46.2,49.4,2.9,11.4,17.4,15.2,1.1,0.2,2.6,32.9,2.6,0.512,0.667,0.467,40.1,10.5,0.302
Sr,6-3,Gabe York,Arizona,P12,124,G,49.6,2.5,3.2,5.8,3.7,2.1,114.3,92.5,18.4,53.9,56.4,1.7,9.2,12.4,14,1.7,1,1.5,23.3,2.4,0.582,0.75,0.434,62.2,11.6,0.402
