Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
cooper flagg,Cooper Flagg,127,83,40,60,92,19,52,83,43,36,3,16,60.476190476190474,23.952095808383234,39.473684210526315,24.050632911392405,38.51851851851852,45.26315789473684,92.3076923076923,30.76923076923077
corey kispert,Corey Kispert,233,112,108,52,91,14,270,392,246,25,1,18,67.53623188405797,31.671554252199414,36.36363636363637,21.21212121212121,40.78549848942598,47.674418604651166,96.15384615384616,41.86046511627907
cory jefferson,Cory Jefferson,243,78,170,150,238,80,17,31,17,161,21,136,75.70093457943925,41.162227602905574,38.659793814432994,34.78260869565217,35.41666666666667,50.0,88.46153846153845,45.79124579124579
cory joseph,Cory Joseph,35,38,13,49,74,20,52,74,44,1,0,0,47.94520547945205,27.083333333333332,39.83739837398374,28.985507246376812,41.269841269841265,45.83333333333333,100.0,0.0
craig brackins,Craig Brackins,53,16,42,112,189,58,27,60,25,35,3,31,76.81159420289855,44.21052631578947,37.2093023255814,34.11764705882353,31.03448275862069,48.07692307692308,92.10526315789474,46.96969696969697
d'angelo russell,D'Angelo Russell,70,40,25,66,108,17,95,137,52,4,0,2,63.63636363636363,26.31578947368421,37.93103448275862,20.481927710843372,40.94827586206897,35.374149659863946,100.0,33.33333333333333
d.j. wilson,D.J. Wilson,84,20,55,57,65,18,48,86,44,43,3,32,80.76923076923077,39.568345323741006,46.72131147540984,24.0,35.82089552238806,47.82608695652174,93.47826086956522,42.66666666666667
da'sean butler,Da'Sean Butler,57,33,36,81,136,39,70,127,62,5,0,4,63.33333333333333,38.70967741935484,37.327188940092164,32.5,35.53299492385787,46.96969696969697,100.0,44.44444444444444
dakari johnson,Dakari Johnson,119,67,51,42,72,14,0,0,0,21,0,17,63.97849462365591,30.0,36.84210526315789,25.0,0.0,0.0,100.0,44.73684210526316
dalano banton,Dalano Banton,68,36,25,29,61,5,27,89,24,8,2,4,65.38461538461539,26.881720430107524,32.22222222222222,14.705882352941178,23.275862068965516,47.05882352941176,80.0,33.33333333333333
dalen terry,Dalen Terry,91,42,47,21,49,7,42,78,40,26,2,17,68.42105263157895,34.05797101449276,30.0,25.0,35.0,48.78048780487805,92.85714285714286,39.53488372093023
dalton knecht,Dalton Knecht,252,150,94,126,195,34,212,343,166,65,5,39,62.68656716417911,27.167630057803464,39.25233644859813,21.25,38.1981981981982,43.91534391534391,92.85714285714286,37.5
damian jones,Damian Jones,342,143,215,155,236,75,1,7,1,114,13,101,70.51546391752578,38.59964093357271,39.64194373401534,32.608695652173914,12.5,50.0,89.76377952755905,46.97674418604651
damian lillard,Damian Lillard,193,148,29,54,110,9,182,290,98,23,4,5,56.598240469208214,13.063063063063062,32.926829268292686,14.285714285714285,38.559322033898304,35.0,85.18518518518519,17.857142857142858
damion james,Damion James,110,41,55,64,110,33,36,58,35,29,1,19,72.84768211920529,33.33333333333333,36.7816091954023,34.02061855670103,38.297872340425535,49.29577464788733,96.66666666666667,39.58333333333333
damyean dotson,Damyean Dotson,202,98,91,200,251,65,243,398,213,25,0,14,67.33333333333333,31.058020477815703,44.345898004434595,24.528301886792452,37.909516380655226,46.71052631578947,100.0,35.8974358974359
