Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,player_lower
Devin Ebanks,90,46,48,51,98,25,3,26,2,10,0,7,80,46,126,0.6349206349206349,0.5125,136,0.6617647058823529,0.5333333333333333,149,0.3422818791946309,0.49019607843137253,285,0.49473684210526314,0.5177304964539007,29,0.10344827586206896,0.6666666666666666,0.5208333333333334,314,0.43312101910828027,0.4745222929936306,0.09235668789808917,0.9076433121019108,devin ebanks
Devin Robinson,149,61,77,85,151,16,100,199,98,66,16,49,83,45,128,0.6484375,0.3373493975903614,210,0.7095238095238096,0.5167785234899329,236,0.3601694915254237,0.18823529411764706,446,0.5246636771300448,0.3974358974358974,299,0.33444816053511706,0.98,0.5718562874251497,745,0.28187919463087246,0.3167785234899329,0.40134228187919463,0.5986577181208054,devin robinson
Devin Vassell,75,36,43,51,83,11,70,98,64,32,2,27,43,34,77,0.5584415584415584,0.37209302325581395,111,0.6756756756756757,0.5733333333333334,134,0.3805970149253731,0.21568627450980393,245,0.5142857142857142,0.42857142857142855,168,0.4166666666666667,0.9142857142857143,0.6020408163265306,413,0.2687651331719128,0.324455205811138,0.4067796610169492,0.5932203389830508,devin vassell
Devon Dotson,226,134,31,28,87,2,68,138,50,1,0,0,225,134,359,0.6267409470752089,0.13777777777777778,360,0.6277777777777778,0.13716814159292035,115,0.24347826086956523,0.07142857142857142,475,0.5347368421052632,0.12992125984251968,206,0.3300970873786408,0.7352941176470589,0.2577639751552795,681,0.5286343612334802,0.16886930983847284,0.302496328928047,0.697503671071953,devon dotson
Devon Hall,126,109,43,64,131,14,115,182,101,14,2,8,112,107,219,0.5114155251141552,0.3125,235,0.5361702127659574,0.3412698412698413,195,0.3282051282051282,0.21875,430,0.4418604651162791,0.3,297,0.3872053872053872,0.8782608695652174,0.5180327868852459,727,0.32324621733149933,0.26822558459422285,0.40852819807427787,0.5914718019257221,devon hall
Devontae Cacok,450,138,304,129,198,72,1,1,1,146,6,124,304,132,436,0.6972477064220184,0.5921052631578947,588,0.7653061224489796,0.6755555555555556,327,0.3944954128440367,0.5581395348837209,915,0.6327868852459017,0.6493955094991365,2,0.5,1.0,0.65,917,0.6412213740458015,0.35659760087241005,0.0021810250817884407,0.9978189749182116,devontae cacok
Devonte' Graham,140,117,26,107,203,11,293,424,199,9,0,5,131,117,248,0.5282258064516129,0.16030534351145037,257,0.5447470817120622,0.18571428571428572,310,0.34516129032258064,0.102803738317757,567,0.43562610229276894,0.14979757085020243,717,0.4086471408647141,0.6791808873720137,0.43703703703703706,1284,0.20015576323987538,0.24143302180685358,0.5584112149532711,0.441588785046729,devonte' graham
Dewan Huell,169,74,90,55,98,25,0,5,0,82,9,49,87,65,152,0.5723684210526315,0.47126436781609193,243,0.6954732510288066,0.5325443786982249,153,0.35947712418300654,0.45454545454545453,396,0.5656565656565656,0.5133928571428571,5,0.0,,0.5133928571428571,401,0.6059850374064838,0.38154613466334164,0.012468827930174564,0.9875311720698254,dewan huell
Dewayne Dedmon,92,32,53,59,103,24,0,4,0,46,7,32,46,25,71,0.647887323943662,0.45652173913043476,124,0.7419354838709677,0.5760869565217391,162,0.36419753086419754,0.4067796610169492,286,0.527972027972028,0.5099337748344371,4,0.0,,0.5099337748344371,290,0.42758620689655175,0.5586206896551724,0.013793103448275862,0.9862068965517241,dewayne dedmon
Dexter Dennis,149,128,56,60,161,15,216,427,195,34,6,22,115,122,237,0.48523206751054854,0.2956521739130435,277,0.5379061371841155,0.37583892617449666,221,0.27149321266968324,0.25,498,0.41967871485943775,0.3397129186602871,643,0.3359253499222395,0.9027777777777778,0.6258823529411764,1141,0.2427695004382121,0.1936897458369851,0.5635407537248028,0.4364592462751972,dexter dennis
Dexter Pittman,105,38,61,35,36,19,0,0,0,40,2,31,65,36,101,0.6435643564356436,0.46153846153846156,143,0.7342657342657343,0.580952380952381,71,0.49295774647887325,0.5428571428571428,214,0.6542056074766355,0.5714285714285714,0,,,0.5714285714285714,214,0.6682242990654206,0.3317757009345794,0.0,1.0,dexter pittman
Deyonta Davis,87,34,57,32,45,20,0,0,0,50,1,39,37,33,70,0.5285714285714286,0.4864864864864865,121,0.71900826446281,0.6551724137931034,77,0.4155844155844156,0.625,198,0.601010101010101,0.6470588235294118,0,,,0.6470588235294118,198,0.6111111111111112,0.3888888888888889,0.0,1.0,deyonta davis
Diamond Stone,123,54,76,40,70,13,0,0,0,48,0,41,75,54,129,0.5813953488372093,0.4666666666666667,177,0.6949152542372882,0.6178861788617886,110,0.36363636363636365,0.325,287,0.5679442508710801,0.5460122699386503,0,,,0.5460122699386503,287,0.6167247386759582,0.3832752613240418,0.0,1.0,diamond stone
Diante Garrett,133,50,28,116,238,9,78,161,47,2,0,1,131,50,181,0.7237569060773481,0.20610687022900764,183,0.726775956284153,0.21052631578947367,354,0.327683615819209,0.07758620689655173,537,0.46368715083798884,0.14859437751004015,239,0.3263598326359833,0.6025641025641025,0.25688073394495414,776,0.23582474226804123,0.45618556701030927,0.3079896907216495,0.6920103092783505,diante garrett
Dillon Brooks,260,153,87,175,258,52,133,230,103,29,1,15,231,152,383,0.6031331592689295,0.3116883116883117,413,0.6295399515738499,0.3346153846153846,433,0.40415704387990764,0.29714285714285715,846,0.5141843971631206,0.3195402298850575,363,0.36639118457300274,0.7744360902255639,0.426056338028169,1209,0.3416046319272126,0.35814722911497104,0.3002481389578164,0.6997518610421837,dillon brooks
Dillon Jones,331,192,55,131,171,10,98,207,80,13,1,2,318,191,509,0.6247544204322201,0.16666666666666666,523,0.6328871892925431,0.1661631419939577,302,0.4337748344370861,0.07633587786259542,825,0.56,0.1406926406926407,305,0.32131147540983607,0.8163265306122449,0.25892857142857145,1130,0.46283185840707963,0.2672566371681416,0.26991150442477874,0.7300884955752213,dillon jones
Dion Waiters,136,88,44,61,108,18,68,138,57,32,4,16,104,84,188,0.5531914893617021,0.2692307692307692,224,0.6071428571428571,0.3235294117647059,169,0.3609467455621302,0.29508196721311475,393,0.5012722646310432,0.3147208121827411,206,0.3300970873786408,0.8382352941176471,0.4490566037735849,599,0.3739565943238731,0.28213689482470783,0.34390651085141904,0.656093489148581,dion waiters
Domantas Sabonis,266,97,147,92,112,43,5,9,5,36,3,33,230,94,324,0.7098765432098766,0.4956521739130435,363,0.7327823691460055,0.5526315789473685,204,0.45098039215686275,0.4673913043478261,567,0.6313932980599647,0.5307262569832403,14,0.35714285714285715,1.0,0.5371900826446281,581,0.6247848537005164,0.35111876075731496,0.024096385542168676,0.9759036144578314,domantas sabonis
Dominique Jones,102,46,40,68,110,5,52,112,38,11,1,6,91,45,136,0.6691176470588235,0.37362637362637363,148,0.6891891891891891,0.39215686274509803,178,0.38202247191011235,0.07352941176470588,326,0.5214723926380368,0.2647058823529412,164,0.3170731707317073,0.7307692307692307,0.3738738738738739,490,0.3020408163265306,0.363265306122449,0.3346938775510204,0.6653061224489796,dominique jones
Donald Sloan,71,38,19,77,126,16,47,82,35,4,1,2,67,37,104,0.6442307692307693,0.2537313432835821,109,0.6513761467889908,0.2676056338028169,203,0.3793103448275862,0.2077922077922078,312,0.47435897435897434,0.23648648648648649,129,0.3643410852713178,0.7446808510638298,0.358974358974359,441,0.2471655328798186,0.4603174603174603,0.2925170068027211,0.7074829931972789,donald sloan
Donovan Clingan,268,110,190,28,47,16,2,7,2,102,7,93,166,103,269,0.6171003717472119,0.5843373493975904,378,0.708994708994709,0.7089552238805971,75,0.37333333333333335,0.5714285714285714,453,0.6534216335540839,0.6959459459459459,9,0.2222222222222222,1.0,0.697986577181208,462,0.8181818181818182,0.16233766233766234,0.01948051948051948,0.9805194805194806,donovan clingan
Donovan Mitchell,114,74,33,70,108,6,113,220,95,25,7,19,89,67,156,0.5705128205128205,0.15730337078651685,188,0.6063829787234043,0.2894736842105263,178,0.39325842696629215,0.08571428571428572,366,0.5027322404371585,0.21195652173913043,333,0.33933933933933935,0.8407079646017699,0.4511784511784512,699,0.26895565092989987,0.25464949928469244,0.47639484978540775,0.5236051502145923,donovan mitchell
Donovan Williams,227,238,87,57,106,16,114,261,102,14,3,9,213,235,448,0.47544642857142855,0.36619718309859156,465,0.4881720430107527,0.3832599118942731,163,0.3496932515337423,0.2807017543859649,628,0.45222929936305734,0.3626760563380282,375,0.304,0.8947368421052632,0.5150753768844221,1003,0.46360917248255235,0.1625124626121635,0.37387836490528414,0.6261216350947159,donovan williams
Donta Hall,346,81,220,49,120,23,1,1,1,188,15,141,158,66,224,0.7053571428571429,0.5,427,0.810304449648712,0.6358381502890174,169,0.28994082840236685,0.46938775510204084,596,0.662751677852349,0.6151898734177215,2,0.5,1.0,0.6161616161616161,598,0.7140468227424749,0.2826086956521739,0.0033444816053511705,0.9966555183946488,donta hall
Donte DiVincenzo,120,67,50,53,60,8,130,214,96,20,4,13,100,63,163,0.6134969325153374,0.37,187,0.6417112299465241,0.4166666666666667,113,0.4690265486725664,0.1509433962264151,300,0.5766666666666667,0.3352601156069364,344,0.37790697674418605,0.7384615384615385,0.5082508250825083,644,0.29037267080745344,0.17546583850931677,0.5341614906832298,0.4658385093167702,donte divincenzo
Donte Grantham,178,95,79,62,149,18,161,324,148,56,8,38,122,87,209,0.583732057416268,0.3360655737704918,273,0.652014652014652,0.4438202247191011,211,0.2938388625592417,0.2903225806451613,484,0.49586776859504134,0.4041666666666667,485,0.3319587628865979,0.9192546583850931,0.6109725685785536,969,0.28173374613003094,0.21775025799793601,0.500515995872033,0.49948400412796695,donte grantham
Dorian Finney-Smith,220,167,83,76,196,32,186,327,180,58,10,33,162,157,319,0.5078369905956113,0.30864197530864196,387,0.5684754521963824,0.37727272727272726,272,0.27941176470588236,0.42105263157894735,659,0.44916540212443096,0.3885135135135135,513,0.36257309941520466,0.967741935483871,0.6120331950207469,1172,0.3302047781569966,0.23208191126279865,0.4377133105802048,0.5622866894197952,dorian finney-smith
Doron Lamb,94,53,42,98,145,28,144,159,139,0,0,0,94,53,147,0.6394557823129252,0.44680851063829785,147,0.6394557823129252,0.44680851063829785,243,0.40329218106995884,0.2857142857142857,390,0.49230769230769234,0.3645833333333333,303,0.4752475247524752,0.9652777777777778,0.6220238095238095,693,0.21212121212121213,0.35064935064935066,0.43722943722943725,0.5627705627705628,doron lamb
Doug McDermott,588,242,390,280,367,139,274,325,258,19,1,16,569,241,810,0.7024691358024692,0.6572934973637962,830,0.708433734939759,0.6632653061224489,647,0.4327666151468315,0.49642857142857144,1477,0.5876777251184834,0.6094470046082949,599,0.4574290484140234,0.9416058394160584,0.6891418563922942,2076,0.39980732177263967,0.31165703275529866,0.2885356454720617,0.7114643545279383,doug mcdermott
Drake Powell,49,22,26,17,28,5,36,59,36,10,2,8,39,20,59,0.6610169491525424,0.46153846153846156,71,0.6901408450704225,0.5306122448979592,45,0.37777777777777777,0.29411764705882354,116,0.5689655172413793,0.4696969696969697,95,0.37894736842105264,1.0,0.6568627450980392,211,0.33649289099526064,0.2132701421800948,0.45023696682464454,0.5497630331753555,drake powell
Draymond Green,248,148,108,156,273,81,90,159,84,30,1,21,218,147,365,0.5972602739726027,0.39908256880733944,396,0.6262626262626263,0.43548387096774194,429,0.36363636363636365,0.5192307692307693,825,0.4896969696969697,0.46782178217821785,249,0.3614457831325301,0.9333333333333333,0.5526315789473685,1074,0.3687150837988827,0.3994413407821229,0.23184357541899442,0.7681564245810056,draymond green
Drew Eubanks,314,122,204,114,169,52,0,0,0,161,14,127,153,108,261,0.5862068965517241,0.5032679738562091,436,0.7201834862385321,0.6496815286624203,283,0.4028268551236749,0.45614035087719296,719,0.5952712100139083,0.5981308411214953,0,,,0.5981308411214953,719,0.6063977746870653,0.39360222531293465,0.0,1.0,drew eubanks
Drew Gordon,247,106,163,100,194,65,2,2,2,75,4,60,172,102,274,0.6277372262773723,0.5988372093023255,353,0.6997167138810199,0.659919028340081,294,0.3401360544217687,0.65,647,0.5363214837712519,0.6570605187319885,4,0.5,1.0,0.6590257879656161,651,0.5422427035330261,0.45161290322580644,0.006144393241167435,0.9938556067588326,drew gordon
